ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\SettlersOfIdlestan.csproj,,,,,,,,Infrastructure cible actuelle: net8.0 Infrastructure cible recommandé: net10.0
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Controller\CivilizationAutoplayer.cs,379,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,clock.Advance(TimeSpan.FromSeconds(_timeStep));
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Controller\CivilizationAutoplayer.cs,304,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,clock.Advance(TimeSpan.FromSeconds(_timeStep));
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Controller\CivilizationAutoplayer.cs,182,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,clock.Advance(TimeSpan.FromSeconds(_timeStep));
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Controller\CivilizationAutoplayer.cs,114,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,clock.Advance(TimeSpan.FromSeconds(_timeStep));
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Controller\CivilizationAutoplayer.cs,69,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,clock.Advance(TimeSpan.FromSeconds(_timeStep));
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Model\Building\BuildingJsonConverter.cs,56,12,"M:System.Text.Json.JsonSerializer.Deserialize(System.String,System.Type,System.Text.Json.JsonSerializerOptions)",,,,,"var result = (Building?)JsonSerializer.Deserialize(raw, concrete, options);"
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Model\Building\BuildingJsonConverter.cs,13,12,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.ParseValue(ref reader);
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\src\Model\Building\BuildingJsonConverter.cs,13,12,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.ParseValue(ref reader);
Api.0003,Modification du comportement dans la version .NET sélectionnée,Active,Potential,1,SettlersOfIdlestan\SettlersOfIdlestan.csproj,File,SettlersOfIdlestan\SettlersOfIdlestan\src\Model\HexGrid\VertexJsonConverter.cs,10,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.ParseValue(ref reader);
