EventType,Cycle,PhaseIndex,PhaseKind,Iterations,Tick,SimulatedHours,PrestigeCount,PointsTarget,IslandTicks,WorldId,Tier,CityCount,BuildingCount,TotalBuildingLevels,PrestigePoints,ResearchCompleted,UniqueBuildings,WonderLevel,HasDeepestMine,HasCorruptionSpire,HasAbyssGate,AbyssGateEverUnlocked
Prestige,1,0,UnifiedAggressive,3142,157100,0.44,1,35,157100,1,1,12,93,174,36,0,1,0,False,False,False,False
Checkpoint,2,0,UnifiedAggressive,7200,360000,1.00,1,80,202900,2,1,12,114,238,40,4,1,0,False,False,False,False
Checkpoint,2,0,UnifiedAggressive,14400,720000,2.00,1,80,562900,2,1,12,126,386,40,8,1,0,False,False,False,False
Checkpoint,2,0,UnifiedAggressive,21600,1080000,3.00,1,80,922900,2,1,12,126,409,40,9,1,0,False,False,False,False
Prestige,2,0,UnifiedAggressive,24051,1202550,3.34,2,80,1045450,2,1,12,126,409,162,10,1,1,False,False,False,False
Checkpoint,3,0,UnifiedAggressive,28800,1440000,4.00,2,500,237450,3,1,12,145,316,40,0,1,0,False,False,False,False
Checkpoint,3,0,UnifiedAggressive,36000,1800000,5.00,2,500,597450,3,1,12,145,514,40,2,1,0,False,False,False,False
Checkpoint,3,0,UnifiedAggressive,43200,2160000,6.00,2,500,957450,3,1,25,295,1057,87,4,1,0,False,False,False,False
Prestige,3,0,UnifiedAggressive,48180,2409000,6.69,3,500,1206450,3,1,29,341,1225,121,5,1,0,False,False,False,False
Checkpoint,4,0,UnifiedAggressive,50400,2520000,7.00,3,1000,111000,4,1,10,94,136,24,0,0,0,False,False,False,False
Checkpoint,4,0,UnifiedAggressive,57600,2880000,8.00,3,1000,471000,4,1,12,137,417,42,0,1,0,False,False,False,False
Checkpoint,4,0,UnifiedAggressive,64800,3240000,9.00,3,1000,831000,4,1,21,235,814,71,1,1,0,False,False,False,False
